Keyword,Type
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
57,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
49,RST
49,RST
59,RST
59,RST
49,RST
59,RST
39,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
49,RST
59,RST
59,RST
49,RST
59,RST
39,RST
59,RST
39,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
39,RST
59,RST
59,RST
49,RST
59,RST
广州市,QTH
广东中山,QTH
东莞塘厦,QTH
中山火炬,QTH
人才公园,QTH
东莞虎门,QTH
南海桂城,QTH
珠海,QTH
东莞塘厦,QTH
贵州贵阳,QTH
深圳福田,QTH
深圳龙岗,QTH
深圳龙岗坪地,QTH
深圳南山,QTH
龙岗布吉,QTH
深圳罗湖,QTH
观澜,QTH
佛山里水,QTH
贵州,QTH
香港太和地铁站,QTH
深圳龙岗,QTH
东莞长安,QTH
东莞塘厦,QTH
香港天水围,QTH
珠海,QTH
广西南宁,QTH
东莞南城,QTH
南山蛇口,QTH
惠东吉隆,QTH
惠东吉隆,QTH
山东阳谷,QTH
东莞大岭山,QTH
中山,QTH
石岩,QTH
江苏镇江,QTH
深圳罗湖,QTH
广州海珠区,QTH
巴西,QTH
深圳大鹏,QTH
深圳福田,QTH
深圳龙岗,QTH
中国香港,QTH
广州芳村,QTH
广州花都,QTH
古镇,QTH
深圳福田,QTH
深圳观澜,QTH
广州大道南,QTH
惠州大南山,QTH
深圳龙岗,QTH
东莞黄江,QTH
深圳福田,QTH
巴西,QTH
深圳龙岗,QTH
东莞万江,QTH
东莞长安,QTH
深圳福田,QTH
深圳南山,QTH
印尼雅加达,QTH
广东中山,QTH
深圳大鹏,QTH
广州珠海,QTH
深圳松岗,QTH
深圳白石洲,QTH
广东河源,QTH
惠州惠阳,QTH
江门鹤山,QTH
东莞大岭山,QTH
广州天河,QTH
深圳罗湖,QTH
深圳福田,QTH
深圳福田,QTH
江苏镇江,QTH
深圳宝安,QTH
广东中山,QTH
深圳罗湖,QTH
广东河源,QTH
深圳龙华,QTH
广东中山,QTH
广州黄石路,QTH
深圳龙岗,QTH
深圳罗湖,QTH
深圳横岗,QTH
深圳盐田,QTH
深圳福田,QTH
深圳宝安,QTH
广东中山,QTH
深圳南山,QTH
惠州惠阳,QTH
深圳南山,QTH
深圳布吉,QTH
深圳龙华,QTH
广东佛山,QTH
深圳罗湖,QTH
广州番禺,QTH
广东中山,QTH
广州荔湾,QTH
深圳龙岗,QTH
山东,QTH
深圳福田,QTH
深圳南山,QTH
YAESU FT-8800,RIG
滔滔,RIG
GP338,RIG
即时通D9000,RIG
威诺N7500,RIG
泉盛K5,RIG
八重洲1807,RIG
八重洲1907,RIG
八重洲FTM300D,RIG
即时通D9000,RIG
ICOM ID5100,RIG
森海克斯8600,RIG
Moto SLEM,RIG
泉盛K5,RIG
森海克斯8600,RIG
泉盛K5,RIG
森海克斯8800,RIG
欧讯UV9D,RIG
滔滔,RIG
滔滔,RIG
滔滔,RIG
宝峰UV8,RIG
八重洲1907,RIG
即时通D9000,RIG
泉盛K5,RIG
森海克斯8800,RIG
滔滔,RIG
Moto GM338,RIG
即时通D9000,RIG
滔滔,RIG
建伍8180,RIG
滔滔,RIG
建伍8185,RIG
Moto GP338,RIG
海能达PD580,RIG
海能达HP780,RIG
小米2S,RIG
海能达M780,RIG
滔滔,RIG
雷讯VV898,RIG
建伍461,RIG
宝峰UV5R,RIG
欧讯UV9D,RIG
维诺7500,RIG
泉盛KT5000,RIG
森海克斯GT12,RIG
森海克斯8800,RIG
小米2,RIG
泉益通8900,RIG
摩托罗拉GP338,RIG
建伍3207,RIG
宝峰UV5R,RIG
摩托罗拉P8668,RIG
滔滔,RIG
森海克斯8800,RIG
宝峰1801,RIG
八重洲7800,RIG
滔滔,RIG
泉盛K5,RIG
滔滔,RIG
滔滔,RIG
艾可慕7000,RIG
即时通D9000,RIG
滔滔,RIG
摩托罗拉GP338,RIG
滔滔,RIG
泉盛K5,RIG
滔滔,RIG
即时通D9000,RIG
即时通D9000,RIG
摩托罗拉VISAR,RIG
摩托罗拉M8668,RIG
摩托罗拉XTS5000,RIG
泉盛K5,RIG
滔滔,RIG
摩托罗拉HP1000,RIG
宝峰UV5R,RIG
摩托罗拉军刀,RIG
森海克斯8600,RIG
滔滔,RIG
摩托罗拉VISAR,RIG
欧讯UV9D,RIG
滔滔,RIG
海能达HP780,RIG
八重洲FT60,RIG
泉盛K5,RIG
摩托罗拉GM300,RIG
八重洲8900,RIG
泉盛K5,RIG
森海克斯GT12,RIG
欧讯UV9D,RIG
泉盛K6,RIG
八重洲300DR,RIG
欧讯UV2Q,RIG
森海克斯8800,RIG
滔滔,RIG
即时通D9000,RIG
欧讯UV980P,RIG
泉盛K5,RIG
滔滔,RIG
摩托罗拉CP1300,RIG
泉盛K5,RIG
25w,Power
L,Power
5w,Power
5w,Power
L,Power
5w,Power
H,Power
5w,Power
20w,Power
15w,Power
5w,Power
2w,Power
H,Power
5w,Power
H,Power
5w,Power
5w,Power
5w,Power
25w,Power
25w,Power
5w,Power
5w,Power
25w,Power
25w,Power
H,Power
25w,Power
5w,Power
5w,Power
4w,Power
5w,Power
L,Power
25W,Power
10W,Power
5W,Power
5W,Power
M,Power
H,Power
10W,Power
5W,Power
5W,Power
15W,Power
5W,Power
5W,Power
5W,Power
5W,Power
5W,Power
4W,Power
H,Power
5W,Power
15W,Power
M,Power
5W,Power
5W,Power
20W,Power
25W,Power
H,Power
25W,Power
5W,Power
5W,Power
H,Power
5W,Power
5W,Power
5W,Power
4W,Power
2W,Power
5W,Power
2W,Power
5W,Power
25W,Power
20W,Power
1W,Power
H,Power
5W,Power
H,Power
5W,Power
8W,Power
4W,Power
20W,Power
20W,Power
5W,Power
5W,Power
4.5W,Power
五单元八木天线,ANT
原装,ANT
华鸿1.2m玻璃钢,ANT
1m车苗,ANT
四单元八木,ANT
10楼架设2m玻璃钢,ANT
吸盘天线,ANT
钻石770,ANT
2240玻璃钢,ANT
钻石7200,ANT
原装,ANT
IOO天线,ANT
原装,ANT
老鹰RH770,ANT
2.4m玻璃钢,ANT
770车苗,ANT
老鹰770,ANT
原装,ANT
770,ANT
771,ANT
原装,ANT
771,ANT
X510,ANT
1m车苗,ANT
4m,ANT
7900,ANT
华鸿1.2m玻璃钢,ANT
原装,ANT
原装,ANT
原装,ANT
2.4m玻璃钢,ANT
770R天线,ANT
770天线,ANT
原装天线,ANT
原装天线,ANT
7500天线,ANT
1.2M天线,ANT
原装天线,ANT
775天线,ANT
车苗,ANT
770车苗,ANT
原装天线,ANT
原装天线,ANT
775天线,ANT
原装天线,ANT
771天线,ANT
手持八木天线,ANT
钻石507,ANT
老鹰775天线,ANT
车苗,ANT
1.2华鸿玻璃钢天线,ANT
原装天线,ANT
原装天线,ANT
770天线,ANT
1.2玻璃钢天线,ANT
原装天线,ANT
老鹰AJ500,ANT
原装天线,ANT
DIY天线,ANT
IOO定制天线,ANT
原装天线,ANT
原装天线,ANT
名古屋771,ANT
原装天线,ANT
1.3玻璃钢天线,ANT
车苗,ANT
原装天线,ANT
771天线,ANT
4米玻璃钢天线,ANT
老鹰1317,ANT
华鸿S518,ANT
原装天线,ANT
70CM华鸿玻璃钢,ANT
原装天线,ANT
30CM车苗,ANT
原装天线,ANT
原装天线,ANT
1.2米玻璃纤维天线,ANT
钻石x200,ANT
原装天线,ANT
原装天线,ANT
原装天线,ANT
,
770车苗,ANT
2m玻璃钢,ANT
原装天线,ANT
2.5m玻璃钢,ANT
老鹰775,ANT
771天线,ANT
diy-10ele-yagi,ANT
2m玻璃钢,ANT
老鹰771,ANT
原装天线,ANT
折合振子楔型天线,ANT
780车苗,ANT
原装天线,ANT
5cm天线,ANT
59,RST
59,RST
59,RST
58,RST
59,RST
59,RST
59,RST
59+,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
BA7NYD,Callsign
BG7NPP,Callsign
343,Callsign
BA7LGU,Callsign
BI7KHP,Callsign
ba7nom,Callsign
BG7XTK,Callsign
880,Callsign
ba7jom,Callsign
bh7kkc,Callsign
7031,Callsign
ba7msa,Callsign
BI7IJO,Callsign
618,Callsign
BG7SQA,Callsign
BA7NYN,Callsign
BA7MGJ,Callsign
BA7JMT,Callsign
BH7JHU,Callsign
BD7PDC,Callsign
BA7MGP,Callsign
ba7ngb,Callsign
全易通kt8900,RIG
摩托罗拉gm300,RIG
摩托罗拉gp88s,RIG
海能达md780g,RIG
滔滔链路,RIG
森海8800,RIG
宝峰5r,RIG
滔滔,RIG
滔滔,RIG
摩托罗拉gm300,RIG
滔滔,RIG
滔滔,RIG
即时通d9000,RIG
森海8600,RIG
滔滔,RIG
UVK5,RIG
欧讯uv920r,RIG
yaesu7800,RIG
宝峰dm1801,RIG
泉盛k6,RIG
滔滔,RIG
滔滔,RIG
罗湖,QTH
笋岗,QTH
龙华上塘,QTH
龙岗,QTH
广东中山,QTH
福田,QTH
南山粤海街道,QTH
东莞长安,QTH
印尼雅加达,QTH
广州,QTH
南山-蛇口,QTH
安徽合肥新桥机场,QTH
广州,QTH
龙岗横岗,QTH
广西南宁,QTH
福田梅村,QTH
罗湖清水河,QTH
东莞长安,QTH
深圳湾体育馆,QTH
龙岗布吉,QTH
福田上梅林,QTH
广东中山,QTH
ba7nfi,Callsign
343,Callsign
bi7khp,Callsign
ba7npa,Callsign
bg0dzr,Callsign
ba7nig,Callsign
bi7izq,Callsign
bd7nwz,Callsign
bd7iai,Callsign
ba7nuc,Callsign
bh8uou,Callsign
bd7kbb/m,Callsign
ba7mrl,Callsign
bd7pjd,Callsign
bd7ivq,Callsign
bh6oxv,Callsign
ba7nsr,Callsign
bd7pbf,Callsign
ba7jmt,Callsign
59,RST
59,RST
59+++++,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
49,RST
59,RST
59,RST
59,RST
59++,RST
59,RST
59,RST
59,RST
59,RST
中山,QTH
中山,QTH
中山,QTH
龙岗,QTH
中山,QTH
东莞塘厦,QTH
罗湖,QTH
龙华,QTH
丹竹头,QTH
珠海拱北,QTH
云南昆明,QTH
江门,QTH
东莞长安,QTH
河南濮阳,QTH
南山南油,QTH
龙华观澜,QTH
东莞长安,QTH
滔滔,RIG
滔滔,RIG
滔滔,RIG
滔滔,RIG
海能达PD680->欧讯UV980T,RIG
即时通d9000,RIG
小米对讲机,RIG
滔滔,RIG
泉盛k6,RIG
八重洲300d,RIG
海能达PNC370,RIG
泉益通808,RIG
八重洲500DR->新会575,RIG
滔滔,RIG
滔滔,RIG
即时通d9000,RIG
泉益通KT5000,RIG
摩拉GM338,RIG
红米note9plus,ANT
小米,ANT
华为,ANT
三星s23ultra,ANT
1.2m华鸿玻璃钢,ANT
iphone14,ANT
原装,ANT
钻石770,ANT
1m车苗,ANT
老鹰770,ANT
老鹰7900,ANT
5w,Power
5w,Power
5w,Power
3w,Power
5w,Power
25w,Power
小火,Power
25w,Power
25w,Power
10w,Power
20w,Power
,
bh2woj,Callsign
bd7pfu,Callsign
ba7jwv,Callsign
bd7inx,Callsign
ba7msa,Callsign
ba7mri,Callsign
bh7mml,Callsign
bi7khp,Callsign
ba7xam,Callsign
bd7pbf,Callsign
bd7ird,Callsign
bd7jxg,Callsign
辽宁沈阳,QTH
观澜,QTH
福田,QTH
坪山,QTH
布吉,QTH
惠州博罗,QTH
广州海珠区,QTH
中山,QTH
碧海湾,QTH
龙岗坂田,QTH
罗湖,QTH
莲塘,QTH
滔滔,RIG
k5,RIG
森海8600,RIG
滔滔,RIG
拓鹏a36plus,RIG
泉益通980plus,RIG
八重洲8900,RIG
滔滔链路,RIG
滔滔,RIG
即时通d9000,RIG
滔滔,RIG
xtl5000,RIG
三星,ANT
1.2m玻璃钢,ANT
原装,ANT
苹果,ANT
3m玻璃钢,ANT
华鸿1.2m,ANT
华为,ANT
iphone14pro,ANT
1.2m玻璃钢,ANT
华为,ANT
5ele,ANT
59,RST
59,RST
59,RST
59,RST
59,RST
5w,Power
5w,Power
大火,Power
25w,Power
20w,Power
小火,Power
ba7xam,Callsign
bi7oxi,Callsign
ba7nig,Callsign
ba7mgj,Callsign
bd7prc,Callsign
bd7jxg,Callsign
889,Callsign
ba7msa,Callsign
vr2npy,Callsign
667,Callsign
7680,Callsign
bg7jbn,Callsign
ba7mzk,Callsign
ba7lgl,Callsign
ba7mrq,Callsign
bd7plk,Callsign
bg7xxw,Callsign
bh7ods,Callsign
bg7xtk,Callsign
bd7ohp,Callsign
ba7nlp,Callsign
bg0dzr,Callsign
ba7nhc,Callsign
bg8lmt,Callsign
BH3OY/7,Callsign
bh7jhu,Callsign
罗湖口岸,QTH
中山,QTH
东莞塘厦,QTH
江西南昌,QTH
罗湖清水河,QTH
罗湖,QTH
观澜,QTH
布吉,QTH
粉岭,QTH
光明,QTH
龙岗,QTH
莲塘,QTH
大鹏,QTH
宝安新安,QTH
龙岗大运,QTH
龙华,QTH
广西百色,QTH
广州白云,QTH
南山,QTH
东莞塘厦,QTH
广州大学城,QTH
龙岗,QTH
广州花都,QTH
广州大学城,QTH
嘉禾望岗,QTH
南山,QTH
滔滔,RIG
宝峰uv5rm,RIG
滔滔,RIG
宝峰uv5r,RIG
欧训kgwv20,RIG
滔滔,RIG
森海8800,RIG
宝峰uv5rm,RIG
泉盛k6,RIG
森海8800,RIG
滔滔,RIG
自由通578,RIG
ftm300d,RIG
滔滔,RIG
八重洲ft5dr,RIG
滔滔,RIG
摩托gp338,RIG
建伍tk868g,RIG
八重洲8900,RIG
泉盛k5,RIG
摩托xl1m,RIG
kt8900,RIG
即时通d9000,RIG
k5,RIG
泉益通8900,RIG
iphone,ANT
6ele,ANT
775,ANT
华鸿518,ANT
原装,ANT
1.2m玻璃钢,ANT
1.7m玻璃钢,ANT
三星,ANT
原装,ANT
小米,ANT
80cm车苗,ANT
车苗,ANT
华鸿1.2m,ANT
钻石770,ANT
原装,ANT
名古屋770s,ANT
10w,Power
大火,Power
5w,Power
25w,Power
5w,Power
大火,Power
5w,Power
0.5w,Power
小火,Power
大火,Power
小火,Power
20w,Power
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
59,RST
bd7xbv,Callsign
ba7iog,Callsign
114,Callsign
bd7jgw,Callsign
667,Callsign
bd7inx,Callsign
bd7onb,Callsign
bi7izq,Callsign
7680,Callsign
7325,Callsign
bd7pdc,Callsign
bh7jag,Callsign
ba7ndz,Callsign
bg0dzr,Callsign
ba7nuc,Callsign
ba7nfi,Callsign
bh2tmq,Callsign
bd7kbb/m,Callsign
bd7prc,Callsign
bd7nzy,Callsign
bg5ihc,Callsign
bg7jbn,Callsign
ba7mdp,Callsign
bd7pbf,Callsign
bd7jxg,Callsign
549,Callsign
bh7nwd,Callsign
bd7nwz,Callsign
826,Callsign
bd7jun,Callsign
bg7pml,Callsign
bh3oy,Callsign
ba7njd,Callsign
bi7kwt,Callsign
bd7pkp,Callsign
bd7ppz,Callsign
ba7nia,Callsign
bd4qfv,Callsign
bd4thk,Callsign
ba7lgl,Callsign
b2/bd7pmj,Callsign
ba7lzl,Callsign
bd4tgt,Callsign
bd7pfu,Callsign
ba7jmt,Callsign
172,Callsign
bg4thl,Callsign
bi3ujb,Callsign
711,Callsign
ba7nsr,Callsign
东莞长安,QTH
罗湖,QTH
南山,QTH
东莞樟木头,QTH
坪山,QTH
光明,QTH
南山,QTH
珠海香洲,QTH
罗湖,QTH
龙岗,QTH
龙岗中心城,QTH
龙岗布吉,QTH
南山桂庙,QTH
顺德,QTH
龙岗,QTH
珠海,QTH
中山,QTH
辽宁本溪,QTH
江西南昌,QTH
罗湖,QTH
布吉,QTH
罗湖莲塘,QTH
龙岗中心城,QTH
龙华观澜,QTH
莲塘,QTH
龙岗,QTH
银湖汽车站,QTH
龙华,QTH
龙岗坪地,QTH
汕头,QTH
龙岗布吉,QTH
保定,QTH
顺德,QTH
福田上步中,QTH
宝安西乡,QTH
西乡,QTH
江门鹤山,QTH
江苏镇江,QTH
江苏镇江,QTH
武汉,QTH
吉林吉林,QTH
江苏镇江,QTH
龙岗,QTH
东莞长安,QTH
布吉,QTH
江苏镇江,QTH
江苏镇江,QTH
福田中心书城,QTH
南油,QTH
滔滔,RIG
摩拉xtl5000,RIG
泉益通8900,RIG
八重洲7900,RIG
手机滔滔,RIG
滔滔,RIG
泉益通8900,RIG
珠海香洲,RIG
罗湖,RIG
森海8800,RIG
宝峰5r,RIG
k6,RIG
滔滔,RIG
滔滔,RIG
滔滔,RIG
宝峰5r,RIG
滔滔,RIG
滔滔,RIG
滔滔,RIG
海能达pd780,RIG
摩拉338,RIG
欧训kguv1p,RIG
uv5r,RIG
泉益通kt5000,RIG
icom5100e,RIG
宝峰5r,RIG
滔滔,RIG
滔滔,RIG
宝峰uv5h,RIG
滔滔,RIG
欧训9dplus,RIG
滔滔,RIG
泉益通8900,RIG
摩托xtl5000,RIG
k5,RIG
森海8800,RIG
即时通d9000,RIG
自由通778uv,RIG
海能达hp780,RIG
滔滔,RIG
摩托罗拉r7->439.81,RIG
建伍tk8185,RIG
k5,RIG
八重洲7800,RIG
5r,RIG
海能达hp780->当地中继,RIG
森海8800,RIG
滔滔,RIG
